,link_stub,artist,title,sleeve,rlabel,rformat,country,release_dt,genre,style,rating,media,price,votes,haves,wants
Sonny Rollins - Tour De Force,/sell/item/1122700600,Sonny Rollins,Tour De Force,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album",US,1958-01-15,Jazz,"Bop, Hard Bop",4.53,Near Mint (NM or M-),425,15.0,88.0,155.0
The Dick Morrissey Quartet - Here And Now And Sounding Good!,/sell/item/542150069,The Dick Morrissey Quartet,Here And Now And Sounding Good!,Very Good (VG),Mercury,"Vinyl, LP, Album, Mono",UK,1967-01-15,Jazz,"Hard Bop, Modal",3.83,Very Good Plus (VG+),425,6.0,24.0,129.0
Dexter Gordon - A Swingin' Affair,/sell/item/1033550696,Dexter Gordon,A Swingin' Affair,Near Mint (NM or M-),Blue Note,"Vinyl, LP, Album, Stereo",US,1962-01-15,Jazz,Hard Bop,4.63,Near Mint (NM or M-),425,8.0,108.0,195.0
Miles Davis - Jazz Track,/sell/item/155558267,Miles Davis,Jazz Track,Very Good (VG),Columbia,"Vinyl, LP, Promo, Mono, Terre Haute",US,1959-11-15,Jazz,Hard Bop,4.67,Very Good Plus (VG+),425,9.0,80.0,83.0
Hank Mobley - Mobley's Message,/sell/item/1221655941,Hank Mobley,Mobley's Message,Very Good Plus (VG+),Prestige,"Vinyl, LP, Album",US,1956-01-15,Jazz,Hard Bop,4.5,Good Plus (G+),420,14.0,70.0,372.0
Sonny Rollins - Way Out West,/sell/item/1185898023,Sonny Rollins,Way Out West,Very Good Plus (VG+),Stereo Records (4),"Vinyl, LP, Album, Stereo",US,1958-01-15,Jazz,Hard Bop,4.75,Near Mint (NM or M-),419,16.0,79.0,240.0
Nat Adderley - Work Song,/sell/item/1046536321,Nat Adderley,Work Song,Mint (M),Riverside Records,"Vinyl, LP, Album, Mono",US,1960-01-15,Jazz,Hard Bop,4.75,Near Mint (NM or M-),419,4.0,37.0,48.0
Chet Baker - Chet,/sell/item/1112821363,Chet Baker,Chet,Very Good Plus (VG+),Riverside Records,"Vinyl, LP, Album, Repress, Stereo",US,1963-01-15,Jazz,"Hard Bop, Cool Jazz",5.0,Near Mint (NM or M-),419,5.0,19.0,203.0
George Braith - Soul Stream,/sell/item/1008160036,George Braith,Soul Stream,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1963-01-15,Jazz,Hard Bop,4.5,Very Good Plus (VG+),418,12.0,57.0,141.0
The Horace Silver Quintet - Finger Poppin' With The Horace Silver Quintet,/sell/item/917427395,The Horace Silver Quintet,Finger Poppin' With The Horace Silver Quintet,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1959-01-15,Jazz,"Bop, Hard Bop",4.44,Very Good Plus (VG+),418,48.0,345.0,300.0
Sonny Rollins - Sonny Rollins Volume 1,/sell/item/1171645286,Sonny Rollins,Sonny Rollins Volume 1,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Reissue, Mono",US,1966-01-15,Jazz,"Bop, Hard Bop",4.75,Very Good Plus (VG+),411,4.0,17.0,73.0
Sonny Rollins - Newk's Time,/sell/item/1175520741,Sonny Rollins,Newk's Time,Good Plus (G+),Blue Note,"Vinyl, LP, Album, Mono",US,1959-01-15,Jazz,Hard Bop,4.64,Good Plus (G+),407,33.0,243.0,416.0
Wayne Shorter - Introducing Wayne Shorter,/sell/item/592934771,Wayne Shorter,Introducing Wayne Shorter,Near Mint (NM or M-),Vee Jay Records,"Vinyl, LP",US,1959-01-15,Jazz,Hard Bop,3.85,Near Mint (NM or M-),400,13.0,108.0,241.0
Eric Dolphy - Out There,/sell/item/892556940,Eric Dolphy,Out There,Very Good (VG),New Jazz,"Vinyl, LP, Album, Mono",US,1961-01-15,Jazz,"Hard Bop, Free Jazz, Modal",5.0,Near Mint (NM or M-),400,1.0,13.0,105.0
Johnny Griffin - The Little Giant,/sell/item/1144500097,Johnny Griffin,The Little Giant,Very Good Plus (VG+),Riverside Records,"Vinyl, LP, Album, Mono",US,1959-01-15,Jazz,Hard Bop,4.63,Very Good Plus (VG+),400,8.0,73.0,128.0
Dexter Gordon - Our Man In Paris,/sell/item/506994584,Dexter Gordon,Our Man In Paris,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Stereo, Reissue, Liberty Pressing",US,1966-01-15,Jazz,Hard Bop,4.75,Near Mint (NM or M-),400,16.0,111.0,162.0
Jackie McLean - It's Time!,/sell/item/786228251,Jackie McLean,It's Time!,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1965-06-15,Jazz,Hard Bop,4.53,Very Good (VG),400,19.0,128.0,365.0
John Coltrane - A Love Supreme,/sell/item/1085113945,John Coltrane,A Love Supreme,Very Good Plus (VG+),Impulse!,"Vinyl, LP, Album, Mono, Gatefold",US,1965-01-15,Jazz,"Free Jazz, Hard Bop, Modal",4.68,Very Good (VG),400,204.0,1394.0,3674.0
Dizzy Reece - Asia Minor,/sell/item/1259426523,Dizzy Reece,Asia Minor,Very Good (VG),New Jazz,"Vinyl, LP, Album, Mono",US,1962-01-15,Jazz,Hard Bop,4.17,Very Good Plus (VG+),400,6.0,44.0,213.0
Lee Morgan - Search For The New Land,/sell/item/1261076169,Lee Morgan,Search For The New Land,Very Good Plus (VG+),Blue Note,"Vinyl, LP, Album, Mono",US,1966-01-15,Jazz,Hard Bop,4.54,Good (G),400,59.0,361.0,752.0
Nick Ayoub Quintet - The Montreal Scene,/sell/item/1092072857,Nick Ayoub Quintet,The Montreal Scene,Near Mint (NM or M-),RCA Victor,"Vinyl, LP, Album, Mono",Canada,1964-01-15,Jazz,"Hard Bop, Cool Jazz",4.25,Near Mint (NM or M-),400,4.0,44.0,157.0
