Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
"Prestige All Stars* Featuring John Coltrane, Frank Wess, Paul Quinichette – Wheelin' & Dealin'","Prestige – 7131, Prestige – PRLP 7131",US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1959,Hard Bop,"Rated 4.17 of 6 votes (59 have, 149 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,"Van Gelder Studio, Hackensack, New Jersey",nan,$155.99
"Coltrane* – ""Live"" At The Village Vanguard",Impulse! – A-10,US,"Vinyl, LP, Album, Mono",Jazz,1963,"Modal, Hard Bop","Rated 4.61 of 31 votes (231 have, 232 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.2%,Village Vanguard,nan,$160.00
John Coltrane – Blue Train,"Blue Note – BST 81577, Blue Note – BLP 1577",US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1967,Hard Bop,"Rated 4.73 of 45 votes (329 have, 663 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,"Van Gelder Studio, Hackensack, New Jersey",nan,$157.49
Gene Ammons – Tenor Sax Favorites: Volume Three,Prestige – PRLP 149,US,"Vinyl, LP, 10"", Album",Jazz,1953,"Bop, Hard Bop","Rated 5.00 of 1 votes (8 have, 18 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$150.00
John Coltrane – My Favorite Things,Atlantic – 45-5012,US,"Vinyl, 7"", 45 RPM, Single, Promo",Jazz,1961,"Hard Bop, Cool Jazz","No Rating Yet (3 have, 26 want)",Near Mint (NM or M-),Sleeve: Generic,100.0%,nan,nan,$156.91
The George Wallington Trio* – The George Wallington Trio,Savoy Records – MG-12081,US,"Vinyl, LP, Album, Mono",Jazz,1956,Hard Bop,"Rated 4.00 of 1 votes (19 have, 23 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$150.00
Clark Terry With Thelonious Monk – In Orbit,Riverside Records – RLP 12-271,US,"Vinyl, LP, Album, Mono",Jazz,1958,"Hard Bop, Bop","Rated 4.33 of 18 votes (168 have, 232 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),100.0%,Reeves Sound Studios,nan,$150.00
Jerome Richardson – Midnight Oil,New Jazz – PRLP 8205,US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,"Rated 4.60 of 10 votes (34 have, 131 want)",Very Good (VG),Sleeve: Good (G),99.7%,"Van Gelder Studio, Hackensack, New Jersey",nan,$150.00
John Coltrane With Tadd Dameron – Mating Call,Prestige – PR 7247,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1964,Hard Bop,"Rated 5.00 of 3 votes (57 have, 96 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$150.00
The Horace Silver Quintet – 6 Pieces Of Silver,Blue Note – BLP 1539,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1959,Hard Bop,"Rated 5.00 of 4 votes (24 have, 70 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$150.00
