Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price,artist,album,reclabel,recyear,sleeve_cond_abbr,media_cond_abbr,seller_rating,rating,votes,haves,wants,price
Blue Mitchell Sextet – Blue Soul,Riverside Records – RLP 12-309,US,"Vinyl, LP, Album, Mono",Jazz,1959,Hard Bop,Very Good (VG),Sleeve: Good Plus (G+),99.5%,Reeves Sound Studios,,$169.95,Blue Mitchell Sextet , Blue Soul,Riverside Records ,59,G+,VG,0.995,4.43,7.0,78,179,169.95
John Coltrane – Settin' The Pace,"Prestige – PR 7213, Prestige – PRLP 7213",US,"Vinyl, LP, Album, Mono",Jazz,1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$179.99,John Coltrane , Settin' The Pace,Prestige ,61,VG+,VG+,1.0,4.48,25.0,241,261,179.99
The Red Garland Trio Plus Ray Barretto – Manteca,Prestige – PRLP 7139,US,"Vinyl, LP, Album, Mono, Bergenfield, NJ",Jazz,1958,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,,,$175.00,The Red Garland Trio Plus Ray Barretto , Manteca,Prestige ,58,VG+,VG+,0.996,4.75,8.0,66,63,175.0
Art Blakey – Blakey,EmArcy – MG 26030,US,"Vinyl, LP, 10""",Jazz,1955,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Fine Sound,,$164.99,Art Blakey , Blakey,EmArcy ,55,VG+,VG+,1.0,4.57,7.0,34,75,164.99
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono",Jazz,May 1958,"Bop, Hard Bop",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,,Plastylite,$179.99,Cannonball Adderley , Somethin' Else,Blue Note ,58,G+,G+,1.0,,,7,73,179.99
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BLP 4003,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1962,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$176.59,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,62,VG+,VG+,0.9990000000000001,4.67,15.0,107,370,176.59
The Jazz Messengers* – The Jazz Messengers,Columbia – CL 897,US,"Vinyl, LP, Album, Mono",Jazz,1956,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$169.00,The Jazz Messengers* , The Jazz Messengers,Columbia ,56,VG+,VG+,1.0,5.0,3.0,24,86,169.0
Lee Morgan – Volume 2 - Sextet,Blue Note – BST 81541,US,"Vinyl, LP, Album, Reissue, Stereo, Electronically Re-Recorded To Stimulate Stereo",Jazz,1966,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),97.1%,"Van Gelder Studio, Hackensack, New Jersey",,$170.00,Lee Morgan , Volume 2 - Sextet,Blue Note ,66,VG+,NM or M-,0.971,5.0,3.0,48,82,170.0
Harold Vick – Steppin' Out!,Blue Note – BLP 4138,US,"Vinyl, LP, Mono","Jazz, Blues",1963,"Soul-Jazz, Post Bop, Hard Bop",Very Good (VG),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$169.99,Harold Vick , Steppin' Out!,Blue Note ,63,G+,VG,1.0,4.47,15.0,80,270,169.99
Bobby Hutcherson – Components,Blue Note – BLP 4213,US,"Vinyl, LP, Album, Mono",Jazz,1966,"Post Bop, Avant-garde Jazz, Hard Bop",Very Good (VG),Sleeve: Very Good Plus (VG+),98.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$170.00,Bobby Hutcherson , Components,Blue Note ,66,VG+,VG,0.987,4.7,23.0,160,496,170.0
Cannonball Adderley – Somethin' Else,"Blue Note – BST 81595, Blue Note – BLP 1595, Blue Note – BST 1595, Blue Note – 81595",US,"Vinyl, LP, Album, Reissue, Stereo, Liberty Pressing",Jazz,1966,Hard Bop,Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,,,$175.00,Cannonball Adderley , Somethin' Else,Blue Note ,66,NM or M-,VG+,1.0,4.67,51.0,307,416,175.0
The Horace Silver Quintet – Doin' The Thing - At The Village Gate,Blue Note – BLP 4076,US,"Vinyl, LP, Album, Mono",Jazz,Aug 1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,Village Gate,Plastylite,$180.00,The Horace Silver Quintet , Doin' The Thing - At The Village Gate,Blue Note ,61,VG,VG+,1.0,4.28,53.0,598,245,180.0
Freddie Hubbard – The Night Of The Cookers - Live At Club La Marchal - Volume 1,Blue Note – BST 84207,US,"Vinyl, LP, Album, Stereo",Jazz,Nov 1965,"Hard Bop, Post Bop",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,Club La Marchal,Plastylite,$160.71,Freddie Hubbard , The Night Of The Cookers - Live At Club La Marchal - Volume 1,Blue Note ,65,VG+,NM or M-,1.0,4.42,12.0,104,103,160.71
Stanley Turrentine – Rough 'N Tumble,Blue Note – BLP 4240,US,"Vinyl, LP, Album, Mono",Jazz,1966,"Hard Bop, Soul-Jazz",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$179.82,Stanley Turrentine , Rough 'N Tumble,Blue Note ,66,VG+,VG+,0.992,4.27,11.0,60,55,179.82
Larry Young – Unity,Blue Note – BLP 4221,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1967,"Avant-garde Jazz, Hard Bop, Post Bop",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$174.89,Larry Young , Unity,Blue Note ,67,G+,VG+,0.9990000000000001,5.0,2.0,25,114,174.89
Sonny Rollins – Way Out West,"Contemporary Records – C 3530, Contemporary Records – C3530",US,"Vinyl, LP, Album, Mono",Jazz,1957,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),100.0%,Contemporary's Studio,"RCA Records Pressing Plant, Hollywood",$174.99,Sonny Rollins , Way Out West,Contemporary Records ,57,VG,VG,1.0,4.59,46.0,337,575,174.99
