Artist_Album,Label,Country,Format,Genre,Release_Date,Style,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price,artist,album,reclabel,recyear,sleeve_cond_abbr,media_cond_abbr,seller_rating,rating,votes,haves,wants,price
Miles Davis Sextet* – Someday My Prince Will Come,Columbia – CS 8456,US,"Vinyl, LP, Album, Stereo, Pitman",Jazz,1961,Hard Bop,Very Good (VG),Sleeve: Good (G),100.0%,,"Columbia Records Pressing Plant, Pitman",$60.00,Miles Davis Sextet* , Someday My Prince Will Come,Columbia ,61,G,VG,1.0,4.43,14.0,199,204,60.0
The Horace Silver Quintet – Doin' The Thing - At The Village Gate,Blue Note – BLP 4076,US,"Vinyl, LP, Album, Mono",Jazz,Aug 1961,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),86.7%,Village Gate,Plastylite,$60.00,The Horace Silver Quintet , Doin' The Thing - At The Village Gate,Blue Note ,61,VG+,VG+,0.867,4.28,53.0,598,245,60.0
Sonny Rollins – The Freedom Suite,Riverside Records – RS 3010,US,"Vinyl, LP, Album, Promo, Reissue, Remastered, Mono",Jazz,1968,"Hard Bop, Free Jazz",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$60.00,Sonny Rollins , The Freedom Suite,Riverside Records ,68,VG+,VG+,1.0,5.0,2.0,6,13,60.0
Roland Kirk – Here Comes The Whistleman,Atlantic – 3007,US,"Vinyl, LP, Album, Mono",Jazz,1967,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,,,$60.00,Roland Kirk , Here Comes The Whistleman,Atlantic ,67,NM or M-,NM or M-,1.0,3.69,13.0,126,56,60.0
Thelonious Monk – Solo Monk,Columbia – CS 9149,US,"Vinyl, LP, Album, Stereo, 360 Sound, 2-Eye Label, Non-Breakable",Jazz,1965,"Hard Bop, Bop",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.3%,,,$60.99,Thelonious Monk , Solo Monk,Columbia ,65,VG+,NM or M-,0.993,4.45,44.0,519,292,60.99
Wynton Kelly – Kelly Blue,Riverside Records – RLP 12-298,US,"Vinyl, LP, Album, Mono",Jazz,1959,"Bop, Hard Bop",Very Good (VG),Sleeve: Very Good (VG),100.0%,Reeves Sound Studios,,$60.00,Wynton Kelly , Kelly Blue,Riverside Records ,59,VG,VG,1.0,4.43,7.0,118,202,60.0
Cannonball Adderley – Cannonball Adderley And The Poll-Winners Featuring Ray Brown And Wes Montgomery,Riverside Records – RLP 355,US,"Vinyl, LP, Album, Mono",Jazz,1960,"Bop, Hard Bop",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,,,$60.00,Cannonball Adderley , Cannonball Adderley And The Poll-Winners Featuring Ray Brown And Wes Montgomery,Riverside Records ,60,NM or M-,NM or M-,1.0,4.13,16.0,270,78,60.0
Jack Brokensha – And Then I Said,"Savoy Records – 12180, Savoy Records – MG-12180",US,"Vinyl, LP, Album",Jazz,1963,"Cool Jazz, Hard Bop",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,,,$60.00,Jack Brokensha , And Then I Said,Savoy Records ,63,NM or M-,NM or M-,0.996,,,13,11,60.0
"Art Blakey Quintet – A Night At Birdland, Volume 2",Blue Note – BLP 1522,US,"Vinyl, LP, Compilation, Reissue, Mono",Jazz,1959,Hard Bop,Good (G),Sleeve: Good (G),98.8%,Birdland,Plastylite,$60.00,Art Blakey Quintet ," A Night At Birdland, Volume 2",Blue Note ,59,G,G,0.988,4.86,7.0,54,73,60.0
Miles Davis – 'Round About Midnight,CBS/Sony – SONP 50033,Japan,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1968,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.6%,,,$60.00,Miles Davis , 'Round About Midnight,CBS/Sony ,68,NM or M-,NM or M-,0.996,5.0,5.0,30,201,60.0
Shelly Manne – 2 3 4,"Impulse! – SR-3062, Impulse! – AS 20",Japan,"Vinyl, LP, Album, Reissue, Stereo, Gatefold Sleeve",Jazz,1970,"Hard Bop, Cool Jazz",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.6%,,,$59.99,Shelly Manne , 2 3 4,Impulse! ,70,VG+,NM or M-,0.996,5.0,1.0,9,17,59.99
Art Blakey's Jazz Messengers* With Thelonious Monk – Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic – ATL-5012,Japan,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Hard Bop",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,,,$60.00,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,58,NM or M-,NM or M-,1.0,4.0,1.0,13,82,60.0
The Miles Davis Quintet – Miles Smiles,Columbia – CL 2601,US,"Vinyl, LP, Album, Mono",Jazz,Jan 1967,"Hard Bop, Post Bop, Modal",Very Good (VG),Sleeve: Good (G),99.7%,,Columbia,$59.99,The Miles Davis Quintet , Miles Smiles,Columbia ,67,G,VG,0.997,,,25,103,59.99
Ronnie Mathews With Freddie Hubbard – Doin' The Thang!,Prestige – PR 7303,US,"Vinyl, LP, Album, Mono",Jazz,1964,Hard Bop,Very Good (VG),Sleeve: Good Plus (G+),99.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$60.00,Ronnie Mathews With Freddie Hubbard , Doin' The Thang!,Prestige ,64,G+,VG,0.997,4.75,4.0,36,129,60.0
Charlie Mingus* – Tijuana Moods,RCA Victor – SF-7514,UK,"Vinyl, LP, Album, Stereo",Jazz,1962,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,,,$60.00,Charlie Mingus* , Tijuana Moods,RCA Victor ,62,VG+,VG+,0.996,5.0,2.0,24,100,60.0
Milt Jackson – Milt Jackson Quartet,"Prestige – 7003, Prestige – PRLP 7003",US,"Vinyl, LP, Album, Mono",Jazz,1955,"Hard Bop, Cool Jazz",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,,,$60.00,Milt Jackson , Milt Jackson Quartet,Prestige ,55,VG+,VG+,0.998,4.33,18.0,155,167,60.0
The Gil Evans Orchestra* – Out Of The Cool,"Impulse! – AS-4, ABC Records – AS-4",US,"Vinyl, LP, Album, Repress, Stereo, Gatefold",Jazz,1968,"Hard Bop, Contemporary Jazz",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",True Sound Manufacturing Corp.,$60.00,The Gil Evans Orchestra* , Out Of The Cool,Impulse! ,68,NM or M-,NM or M-,1.0,4.64,11.0,82,80,60.0
Wayne Shorter – Introducing Wayne Shorter,"Vee Jay Records – RANK-5059, Top Rank International – RANK-5059",Japan,"Vinyl, LP",Jazz,1960,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),97.3%,,,$60.00,Wayne Shorter , Introducing Wayne Shorter,Vee Jay Records ,60,NM or M-,NM or M-,0.973,4.5,2.0,13,52,60.0
John Coltrane Quartet* – Ballads,Impulse! – A-32,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1965,"Hard Bop, Modal",Very Good (VG),Sleeve: Good (G),100.0%,,,$60.00,John Coltrane Quartet* , Ballads,Impulse! ,65,G,VG,1.0,4.62,47.0,424,268,60.0
The Incredible Jimmy Smith* – Midnight Special,Blue Note – BLP 4078,US,"Vinyl, LP, Album, Mono, No DG","Jazz, Blues",1961,"Soul-Jazz, Hard Bop",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$59.99,The Incredible Jimmy Smith* , Midnight Special,Blue Note ,61,NM or M-,VG+,0.9940000000000001,4.39,83.0,1008,264,59.99
John Coltrane – Moment's Notice,Blue Note – 45-1718,US,"Vinyl, 7"", 45 RPM, Single",Jazz,1958,Hard Bop,Very Good Plus (VG+),Sleeve: Generic,99.6%,"Van Gelder Studio, Hackensack, New Jersey",,$60.00,John Coltrane , Moment's Notice,Blue Note ,58,,VG+,0.996,5.0,2.0,21,38,60.0
Wes Montgomery – Down Here On The Ground,"A&M Records – LP 3006, CTI Records – LP 3006, A&M Records – SP-3006, CTI Records – SP-3006",US,"Vinyl, LP, Album, Gatefold",Jazz,1968,Hard Bop,Mint (M),Sleeve: Mint (M),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$60.00,Wes Montgomery , Down Here On The Ground,A&M Records ,68,M,M,1.0,4.23,22.0,409,59,60.0
Art Blakey's Jazz Messengers* With Thelonious Monk – Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic – 1278,US,"Vinyl, LP, Album, Mono",Jazz,1958,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),96.6%,,,$59.99,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,58,VG+,VG+,0.966,4.21,42.0,353,431,59.99
Cannonball Adderley – Cannonball Adderley-Live!,Capitol Records – ST 2399,US,"Vinyl, LP, Album",Jazz,1965,"Hard Bop, Soul-Jazz, Modal",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),95.5%,Shelly's Manne-Hole,,$60.00,Cannonball Adderley , Cannonball Adderley-Live!,Capitol Records ,65,VG+,NM or M-,0.955,3.86,21.0,296,59,60.0
Lionel Hampton – The Exciting Hamp In Europe,"Glad-Hamp Records, Inc. – GHLP 1003",US,"Vinyl, LP, Album, Mono, Laminated Cover",Jazz,1962,"Hard Bop, Swing",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.9%,,,$59.99,Lionel Hampton , The Exciting Hamp In Europe,"Glad-Hamp Records, Inc. ",62,VG+,NM or M-,0.9990000000000001,,,7,3,59.99
Art Blakey – Orgy In Rhythm (Volume One),"Blue Note – 1554, Blue Note – BLP 1554",US,"Vinyl, LP, Mono","Jazz, Latin",May 1957,"Afro-Cuban Jazz, Hard Bop",Very Good (VG),Sleeve: Good Plus (G+),100.0%,,Plastylite,$59.99,Art Blakey , Orgy In Rhythm (Volume One),Blue Note ,57,G+,VG,1.0,4.1,31.0,254,343,59.99
The Miles Davis Quintet – Relaxin' With The Miles Davis Quintet,"Prestige – 7129, Prestige – PRLP 7129",US,"Vinyl, LP, Album, Mono, Abbey Press",Jazz,1958,Hard Bop,Good Plus (G+),Sleeve: Good Plus (G+),100.0%,,"Abbey Record Manufacturing Co., Inc.",$59.99,The Miles Davis Quintet , Relaxin' With The Miles Davis Quintet,Prestige ,58,G+,G+,1.0,4.67,3.0,16,51,59.99
Stan Getz Meets Gerry Mulligan – Getz Meets Mulligan In Hi-FI,Verve Records – MG V-8249,US,"Vinyl, LP, Album",Jazz,Dec 1957,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,,,$60.00,Stan Getz Meets Gerry Mulligan , Getz Meets Mulligan In Hi-FI,Verve Records ,57,VG,VG+,1.0,3.95,19.0,292,122,60.0
Miles Davis – Blue Moods,Fantasy – 6001,US,"Vinyl, LP, Album, Mono, Reissue, Promo, Red",Jazz,1962,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Audio-Video Studios,,$60.00,Miles Davis , Blue Moods,Fantasy ,62,VG+,VG+,1.0,4.71,7.0,48,137,60.0
Art Blakey And The Jazz Messengers* – Art Blakey And The Jazz Messengers,Blue Note – BLP 4003,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1962,Hard Bop,Good Plus (G+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$60.00,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,62,VG+,G+,1.0,4.67,15.0,107,370,60.0
Chick Corea – Tones For Joan's Bones,Vortex Records (2) – 2004,US,"Vinyl, LP, Album",Jazz,1968,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,,,$59.99,Chick Corea , Tones For Joan's Bones,Vortex Records (2) ,68,VG+,VG+,0.996,4.86,14.0,142,239,59.99
Wes Montgomery – Full House,Riverside Records – RLP 434,US,"Vinyl, LP, Album, Mono",Jazz,1962,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,,,$59.99,Wes Montgomery , Full House,Riverside Records ,62,VG,VG+,1.0,4.67,3.0,19,80,59.99
The 3 Sounds* – Here We Come,Blue Note – BLP 4088,US,"Vinyl, LP, Album, Mono",Jazz,1961,"Hard Bop, Soul-Jazz",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$59.99,The 3 Sounds* , Here We Come,Blue Note ,61,G+,G+,1.0,4.17,24.0,185,83,59.99
Max Roach – Drums Unlimited,Atlantic – SD 1467,US,"Vinyl, LP, Album, Stereo",Jazz,1966,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,,,$59.99,Max Roach , Drums Unlimited,Atlantic ,66,VG+,VG+,0.995,4.25,48.0,464,301,59.99
John Coltrane – The Last Trane,"Prestige – PR 7378, Prestige – PRLP 7378",US,"Vinyl, LP, Album, Mono",Jazz,1965,Hard Bop,Good Plus (G+),Sleeve: Good Plus (G+),98.7%,"Van Gelder Studio, Hackensack, New Jersey",,$60.00,John Coltrane , The Last Trane,Prestige ,65,G+,G+,0.987,4.31,16.0,165,148,60.0
Dorothy Ashby – The Jazz Harpist,Regent – MG-6039,US,"Vinyl, LP, Album, Mono",Jazz,1957,"Hard Bop, Cool Jazz",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,,,$59.99,Dorothy Ashby , The Jazz Harpist,Regent ,57,G+,G+,1.0,4.53,17.0,152,474,59.99
Elvin Jones – And Then Again,Atlantic – 1443,US,"Vinyl, LP, Album, Mono, Promo",Jazz,1965,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,,,$60.00,Elvin Jones , And Then Again,Atlantic ,65,NM or M-,NM or M-,1.0,,,18,39,60.0
The Modern Jazz Disciples – Right Down Front,New Jazz – NJLP-8240,US,"Vinyl, LP, Album, Mono",Jazz,1960,"Hard Bop, Soul-Jazz",Near Mint (NM or M-),Sleeve: Generic,96.5%,,,$60.00,The Modern Jazz Disciples , Right Down Front,New Jazz ,60,,NM or M-,0.965,4.4,5.0,55,52,60.0
Archie Shepp – Fire Music,Impulse! – A-86,US,"Vinyl, LP, Album, Mono",Jazz,1965,"Hard Bop, Free Jazz",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.8%,,,$60.00,Archie Shepp , Fire Music,Impulse! ,65,VG+,VG+,0.988,4.37,19.0,169,206,60.0
Booker Little – Booker Little,Time Records (3) – S/2011,US,"Vinyl, LP, Album, Stereo",Jazz,1960,Hard Bop,Good Plus (G+),Sleeve: Very Good (VG),99.9%,,,$59.99,Booker Little , Booker Little,Time Records (3) ,60,VG,G+,0.9990000000000001,4.33,9.0,94,115,59.99
Jackie McLean Sextet – Jackie McLean Sextet,Josie – JJM 3507,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1963,"Bop, Hard Bop, Swing",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,,,$59.99,Jackie McLean Sextet , Jackie McLean Sextet,Josie ,63,VG+,VG+,0.9940000000000001,5.0,1.0,14,15,59.99
John Coltrane – Settin' The Pace,Prestige – PR 7213,US,"Vinyl, LP, Album, Mono, Reissue",Jazz,1964,Hard Bop,Very Good Plus (VG+),Sleeve: Good (G),98.0%,"Van Gelder Studio, Hackensack, New Jersey",,$59.99,John Coltrane , Settin' The Pace,Prestige ,64,G,VG+,0.98,4.67,6.0,107,122,59.99
Bill Evans / Roy Haynes / Eric Dolphy / Oliver Nelson / Paul Chambers (3) / Freddie Hubbard – The Blues And The Abstract Truth,Impulse! – SR 3023,Japan,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1969,"Hard Bop, Modal",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,,,$60.00,Bill Evans / Roy Haynes / Eric Dolphy / Oliver Nelson / Paul Chambers (3) / Freddie Hubbard , The Blues And The Abstract Truth,Impulse! ,69,VG+,NM or M-,1.0,4.0,4.0,33,144,60.0
The Dave Brubeck Quartet – Time Out,Columbia – CS 8192,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1961,"Bop, Hard Bop",Very Good (VG),Sleeve: Very Good (VG),100.0%,,,$60.00,The Dave Brubeck Quartet , Time Out,Columbia ,61,VG,VG,1.0,4.82,22.0,126,394,60.0
Thelonious Monk with John Coltrane – Monk & Coltrane,"Riverside Records – RM 490, Riverside Records – 490",US,"Vinyl, LP, Album, Reissue, Repress, Mono",Jazz,1966,"Bop, Hard Bop",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.4%,,,$59.99,Thelonious Monk with John Coltrane , Monk & Coltrane,Riverside Records ,66,VG+,NM or M-,0.9940000000000001,4.5,2.0,88,210,59.99
Miles Davis – 'Round About Midnight,Columbia – CL 949,US,"Vinyl, LP, Album, Repress, Mono",Jazz,1961,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),99.1%,,,$59.99,Miles Davis , 'Round About Midnight,Columbia ,61,VG+,VG,0.991,4.25,4.0,29,186,59.99
Joe Harriott - John Mayer Double Quintet* – Indo-Jazz Fusions II,Columbia – SCX 6215,UK,"Vinyl, LP, Album, Stereo","Jazz, Folk, World, & Country",1968,"Hard Bop, Indian Classical",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.5%,,,$59.99,Joe Harriott - John Mayer Double Quintet* , Indo-Jazz Fusions II,Columbia ,68,NM or M-,NM or M-,0.995,4.2,5.0,53,135,59.99
John Coltrane – Coltrane Time,United Artists Jazz – UAJS 15001,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1963,"Hard Bop, Modal",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,,,$60.00,John Coltrane , Coltrane Time,United Artists Jazz ,63,VG+,NM or M-,1.0,4.2,15.0,213,99,60.0
Booker Ervin – The In Between,Blue Note – BST 84283,US,"Vinyl, LP, Album, Stereo",Jazz,1968,"Hard Bop, Post Bop, Modal",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$60.00,Booker Ervin , The In Between,Blue Note ,68,VG,NM or M-,1.0,4.67,3.0,40,34,60.0
Freddie Redd Trio – San Francisco Suite,Riverside Records – 12-250,US,"Vinyl, LP, Album, Mono, Deep Groove, Large Blue Labels",Jazz,1958,Hard Bop,Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,,,$60.00,Freddie Redd Trio , San Francisco Suite,Riverside Records ,58,VG+,VG,1.0,2.5,2.0,38,45,60.0
"The Miles Davis Sextet Featuring John Coltrane And ""Cannonball"" Adderley*, The Thelonious Monk Quartet And Pee Wee Russell – Miles & Monk At Newport",Columbia – CL 2178,US,"Vinyl, LP, Album, Mono",Jazz,Jun 1964,"Hard Bop, Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.3%,Newport Jazz Festival,,$59.99,"The Miles Davis Sextet Featuring John Coltrane And ""Cannonball"" Adderley*, The Thelonious Monk Quartet And Pee Wee Russell ", Miles & Monk At Newport,Columbia ,64,VG+,VG+,0.993,4.21,29.0,437,81,59.99
Ronnie Mathews With Freddie Hubbard – Doin' The Thang,"Prestige – PR 7303, Prestige – PRLP 7303",US,"Vinyl, LP, Album, Repress, Mono",Jazz,1964,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$60.00,Ronnie Mathews With Freddie Hubbard , Doin' The Thang,Prestige ,64,VG+,VG+,0.996,4.0,1.0,22,84,60.0
Bobby Timmons Trio* – Born To Be Blue!,Riverside Records – RS 9468,US,"Vinyl, LP, Album",Jazz,1963,"Hard Bop, Soul-Jazz",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),100.0%,Plaza Sound Studios,,$59.99,Bobby Timmons Trio* , Born To Be Blue!,Riverside Records ,63,NM or M-,VG+,1.0,4.11,9.0,62,65,59.99
"Art Blakey Quintet – A Night At Birdland, Volume 2",Blue Note – BLP 1522,US,"Vinyl, LP, Compilation, Reissue, Mono",Jazz,1959,Hard Bop,Good (G),Sleeve: Good Plus (G+),95.9%,Birdland,Plastylite,$60.00,Art Blakey Quintet ," A Night At Birdland, Volume 2",Blue Note ,59,G+,G,0.9590000000000001,4.86,7.0,54,73,60.0
Art Blakey & The Jazz Messengers – Mosaic,Blue Note – BLP 4090,US,"Vinyl, LP, Album, Mono",Jazz,Dec 1961,"Bop, Hard Bop",Good Plus (G+),Sleeve: Good Plus (G+),91.7%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$60.00,Art Blakey & The Jazz Messengers , Mosaic,Blue Note ,61,G+,G+,0.917,4.51,65.0,437,394,60.0
Jimmy Smith – Groove Drops,Verve Records – V6-8794,US,"Vinyl, LP, Album, Stereo","Jazz, Funk / Soul",1969,"Soul-Jazz, Hard Bop",Mint (M),Sleeve: Near Mint (NM or M-),100.0%,,,$60.00,Jimmy Smith , Groove Drops,Verve Records ,69,NM or M-,M,1.0,4.04,25.0,319,133,60.0
John Coltrane – Giant Steps,Atlantic – SD 1311,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1966,"Hard Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$60.00,John Coltrane , Giant Steps,Atlantic ,66,VG+,VG+,1.0,4.67,9.0,51,287,60.0
Booker Ervin – The In Between,Blue Note – BST 84283,US,"Vinyl, LP, Album, Stereo",Jazz,1968,"Hard Bop, Post Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$60.00,Booker Ervin , The In Between,Blue Note ,68,VG+,VG+,1.0,4.67,3.0,40,34,60.0
Kenny Dorham & Jackie McLean – Inta Somethin',Pacific Jazz – ST-41,US,"Vinyl, LP, Album, Stereo",Jazz,1967,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,,,$59.99,Kenny Dorham & Jackie McLean , Inta Somethin',Pacific Jazz ,67,VG+,VG+,0.995,,,1,9,59.99
John Coltrane Quartet* – Ballads,"Impulse! – Stereo A-32, Impulse! – AS-32",US,"Vinyl, LP, Album, Reissue, Stereo, Typeface Different, Gatefold",Jazz,1965,"Hard Bop, Modal",Good Plus (G+),Sleeve: Good (G),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$59.99,John Coltrane Quartet* , Ballads,Impulse! ,65,G,G+,1.0,4.67,12.0,218,175,59.99
John Coltrane With Tadd Dameron – Mating Call,Prestige – PR 7247,US,"Vinyl, LP, Album, Reissue, Mono",Jazz,1964,Hard Bop,Very Good (VG),Sleeve: Not Graded,99.9%,"Van Gelder Studio, Hackensack, New Jersey",,$60.00,John Coltrane With Tadd Dameron , Mating Call,Prestige ,64,,VG,0.9990000000000001,5.0,3.0,57,96,60.0
Bennie Green – Blows His Horn,Prestige – 7160,US,"Vinyl, LP, Album, Mono, Reissue, Bergenfield Labels",Jazz,1960,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,,,$59.99,Bennie Green , Blows His Horn,Prestige ,60,VG+,VG+,0.998,5.0,1.0,29,29,59.99
The Miles Davis Sextet & The Thelonious Monk Quartet – Miles & Monk At Newport,Columbia – CS 8978,US,"Vinyl, LP, Album, Reissue, Stereo",Jazz,1967,"Hard Bop, Modal",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Newport Jazz Festival,,$60.00,The Miles Davis Sextet & The Thelonious Monk Quartet , Miles & Monk At Newport,Columbia ,67,VG+,VG+,1.0,4.62,13.0,125,47,60.0
Villegas* – Tributo A Monk,"Trova – TL12, Trova – TL-12",Argentina,"Vinyl, LP, Album, Mono",Jazz,1967,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.5%,Estudios ION,,$59.99,Villegas* , Tributo A Monk,Trova ,67,VG+,VG+,0.985,4.33,3.0,22,21,59.99
The Dave Brubeck Quartet – Time Out,Columbia – CS 8192,US,"Vinyl, LP, Album, Repress, Stereo",Jazz,1962,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,,"Columbia Records Pressing Plant, Terre Haute",$59.99,The Dave Brubeck Quartet , Time Out,Columbia ,62,VG,VG+,1.0,4.58,12.0,137,354,59.99
Milt Jackson & John Coltrane – Bags & Trane,Atlantic – 1368,US,"Vinyl, LP, Album, Repress, Mono, Black Fan label",Jazz,1962,Hard Bop,Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,,,$59.99,Milt Jackson & John Coltrane , Bags & Trane,Atlantic ,62,VG+,VG+,1.0,5.0,2.0,9,73,59.99
Art Blakey – Orgy In Rhythm - Volume One,Blue Note – BLP 1554,US,"Vinyl, LP, Album, Mono","Jazz, Latin",1963,"Afro-Cuban Jazz, Hard Bop",Very Good (VG),Sleeve: No Cover,98.7%,,,$60.00,Art Blakey , Orgy In Rhythm - Volume One,Blue Note ,63,,VG,0.987,5.0,3.0,22,53,60.0
Thelonious Monk – We See,"Prestige – PR 7245, Prestige – PRLP 7245",US,"Vinyl, LP, Compilation, Reissue, Mono",Jazz,1962,Hard Bop,Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.5%,"Van Gelder Studio, Hackensack, New Jersey",,$59.99,Thelonious Monk , We See,Prestige ,62,VG+,NM or M-,0.995,4.4,5.0,66,103,59.99
Oliver Nelson – Meet Oliver Nelson,New Jazz – NJLP 8224,US,"Vinyl, LP, Mono, Deep Groove",Jazz,1959,Hard Bop,Very Good (VG),Sleeve: Very Good (VG),100.0%,,,$59.99,Oliver Nelson , Meet Oliver Nelson,New Jazz ,59,VG,VG,1.0,3.5,4.0,52,82,59.99
John Coltrane And Johnny Hartman – John Coltrane And Johnny Hartman,Impulse! – A-40,US,"Vinyl, LP, Album, Mono, Gatefold",Jazz,1963,"Ballad, Vocal, Hard Bop",Good Plus (G+),Sleeve: Very Good Plus (VG+),99.3%,"Van Gelder Studio, Englewood Cliffs, New Jersey",,$59.99,John Coltrane And Johnny Hartman , John Coltrane And Johnny Hartman,Impulse! ,63,VG+,G+,0.993,4.38,60.0,496,654,59.99
Art Blakey's Jazz Messengers* With Thelonious Monk – Art Blakey's Jazz Messengers With Thelonious Monk,"Atlantic – 1278, Atlantic – SD 1278",US,"Vinyl, LP, Album, Repress, Stereo",Jazz,1966,"Bop, Hard Bop",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,,Presswell,$59.99,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,66,VG+,VG,1.0,4.5,8.0,73,101,59.99
Elvin Jones – And Then Again,Atlantic – SD 1443,US,"Vinyl, LP, Stereo, Album",Jazz,1965,Hard Bop,Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,,,$60.00,Elvin Jones , And Then Again,Atlantic ,65,NM or M-,NM or M-,1.0,4.29,7.0,83,101,60.0
Max Roach – +4,EmArcy – MG 36098,US,"Vinyl, LP, Album, Mono",Jazz,1957,"Bop, Hard Bop",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.7%,,,$60.00,Max Roach , +4,EmArcy ,57,VG+,VG+,0.987,4.12,17.0,203,118,60.0
