Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Sonny Rollins – Volume 2,Jazz,Sep 1957,Hard Bop,"Rated 4.71 of 35 votes (244 have, 369 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$399.98
Jackie McLean – A Long Drink Of The Blues,Jazz,1961,Hard Bop,"Rated 4.40 of 15 votes (67 have, 175 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.2%,$349.99
"Art Blakey Quintet – A Night At Birdland, Volume 1",Jazz,1954,Hard Bop,"Rated 4.50 of 12 votes (67 have, 141 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,$300.99
Chet Baker – Chet,Jazz,1959,"Hard Bop, Cool Jazz","Rated 4.46 of 24 votes (143 have, 650 want)",Very Good (VG),Sleeve: Good Plus (G+),99.9%,$399.99
Horace Silver – Horace Silver Trio,Jazz,Oct 1956,Hard Bop,"Rated 4.57 of 21 votes (102 have, 210 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,$311.99
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Jazz,1967,"Hard Bop, Bop","No Rating Yet (3 have, 52 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,$349.00
Hank Mobley – Hank Mobley And His All Stars,Jazz,1957,Hard Bop,"Rated 4.50 of 2 votes (17 have, 132 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$398.29
Donald Byrd – Off To The Races,Jazz,1959,Hard Bop,"Rated 4.74 of 23 votes (154 have, 466 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$319.99
Lee Morgan – Leeway,Jazz,1962,Hard Bop,"Rated 5.00 of 4 votes (19 have, 137 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$400.00
Sonny Rollins – Moving Out,Jazz,1956,"Bop, Hard Bop","Rated 4.29 of 21 votes (131 have, 274 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.3%,$349.99
Roy Haynes With Phineas Newborn* | Paul Chambers (3) – We Three,Jazz,May 1959,"Bop, Hard Bop","Rated 4.11 of 9 votes (86 have, 314 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.4%,$333.00
Eric Dolphy – Out There,Jazz,1961,"Hard Bop, Free Jazz, Modal","Rated 5.00 of 1 votes (13 have, 105 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.8%,$376.00
Herbie Hancock – Maiden Voyage,Jazz,1965,"Hard Bop, Modal","Rated 4.73 of 74 votes (630 have, 1082 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,$339.65
John Coltrane – Blue Train,Jazz,1959,Hard Bop,"Rated 4.75 of 69 votes (312 have, 988 want)",Good (G),Sleeve: Very Good Plus (VG+),98.9%,$349.99
Miles Davis – Blue Moods,Jazz,1955,Hard Bop,"Rated 4.24 of 25 votes (147 have, 573 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),96.4%,$399.99
Jackie McLean – McLean's Scene,Jazz,1958,Hard Bop,"Rated 4.67 of 15 votes (103 have, 200 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),100.0%,$350.00
Donald Byrd – Off To The Races,Jazz,1966,Hard Bop,"Rated 4.56 of 9 votes (62 have, 133 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),97.1%,$399.00
