Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Miles Davis – Milestones,Jazz,1958,Hard Bop,"Rated 4.73 of 11 votes (134 have, 230 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,$229.41
The George Wallington Trio* – The George Wallington Trio,Jazz,1956,Hard Bop,"Rated 4.00 of 1 votes (19 have, 23 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.7%,$250.00
Horace Silver Quintet* – Horace Silver Quintet Vol. 4,Jazz,1955,Hard Bop,"Rated 5.00 of 3 votes (26 have, 108 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.6%,$250.00
Wynton Kelly – Kelly At Midnite,Jazz,1960,Hard Bop,"Rated 4.31 of 13 votes (117 have, 109 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$250.00
"Coleman Hawkins With Eddie ""Lockjaw"" Davis – Night Hawk",Jazz,1961,Hard Bop,"Rated 4.31 of 13 votes (72 have, 94 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$250.00
The Red Garland Quintet With John Coltrane And Donald Byrd – High Pressure,Jazz,1961,Hard Bop,"Rated 5.00 of 1 votes (13 have, 87 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$249.99
Donald Byrd – At The Half Note Cafe (Volume 1),Jazz,Jul 1961,Hard Bop,"Rated 5.00 of 2 votes (14 have, 37 want)",Very Good (VG),Sleeve: Good Plus (G+),100.0%,$249.99
Oliver Nelson – The Blues And The Abstract Truth,Jazz,1965,"Hard Bop, Modal","Rated 4.44 of 54 votes (390 have, 664 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),95.5%,$250.00
Donald Byrd – Electric Byrd,Jazz,1970,"Hard Bop, Modal, Latin Jazz","Rated 4.65 of 95 votes (725 have, 876 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$250.00
John Coltrane Quartet* – Ballads,Jazz,1965,"Hard Bop, Modal","Rated 4.67 of 12 votes (218 have, 174 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.7%,$250.00
Oliver Nelson – The Blues And The Abstract Truth,Jazz,1965,"Hard Bop, Modal","Rated 4.44 of 54 votes (390 have, 664 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),95.5%,$250.00
Freddie Hubbard – Ready For Freddie,Jazz,Apr 1962,Hard Bop,"Rated 4.50 of 26 votes (110 have, 453 want)",Good Plus (G+),Sleeve: Not Graded,99.9%,$250.00
Clark Terry With Thelonious Monk – In Orbit,Jazz,1958,"Hard Bop, Bop","Rated 4.33 of 18 votes (166 have, 231 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$250.00
Donald Byrd – Byrd's Word,Jazz,1956,"Hard Bop, Bop","Rated 4.44 of 16 votes (103 have, 245 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$239.00
Buddy Rich And Max Roach – Rich Versus Roach,Jazz,1959,Hard Bop,"Rated 4.50 of 6 votes (30 have, 31 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.7%,$250.00
"Thad Jones - Frank Wess - Teddy Charles - Mal Waldron - Doug Watkins - Elvin Jones, The Prestige All Stars – Olio",Jazz,1957,Hard Bop,"Rated 4.50 of 14 votes (58 have, 236 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,$250.00
Wayne Shorter – Night Dreamer,Jazz,1966,Hard Bop,"Rated 4.64 of 11 votes (97 have, 283 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$250.00
Sonny Rollins Quartet – Tenor Madness,Jazz,1958,"Bop, Hard Bop","Rated 4.80 of 10 votes (72 have, 113 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.2%,$227.99
Sonny Criss – At The Crossroads with Sonny Criss,Jazz,1959,Hard Bop,"Rated 4.43 of 7 votes (25 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.9%,$250.00
