Artist_Album,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Price
Sam Rivers – Fuchsia Swing Song,Jazz,1965,"Post Bop, Hard Bop","Rated 4.58 of 19 votes (110 have, 322 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$999.00
John Coltrane – A Love Supreme,Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.68 of 204 votes (1395 have, 3677 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"$1,500.00"
Curtis Fuller – The Opener,Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),97.1%,"$1,400.00"
Hank Mobley - Lee Morgan – Peckin' Time,Jazz,Nov 1959,Hard Bop,"Rated 4.50 of 18 votes (68 have, 483 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"$1,499.99"
Sonny Rollins – Volume 2,Jazz,1958,Hard Bop,"Rated 5.00 of 7 votes (29 have, 69 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$775.00
Donald Byrd – Byrd Jazz,Jazz,1956,Hard Bop,"Rated 4.45 of 11 votes (28 have, 477 want)",Near Mint (NM or M-),Sleeve: No Cover,99.2%,"$1,444.99"
Jørgen Leth Quintet / Igor Čaplinski – Jazz Jamboree 1962 Vol.4,Jazz,1962,Hard Bop,"Rated 5.00 of 3 votes (25 have, 63 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,$630.00
Thad Jones – The Magnificent Thad Jones,Jazz,1956,Hard Bop,"Rated 4.56 of 16 votes (92 have, 427 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$599.99
Hideo Shiraki – In Fiesta,Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (5 have, 171 want)",Good (G),Sleeve: Good (G),100.0%,"$1,000.00"
Freddie Hubbard – Goin' Up,Jazz,1961,Hard Bop,"Rated 4.56 of 18 votes (104 have, 353 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,$643.81
Cannonball Adderley – Somethin' Else,Jazz,1959,"Bop, Hard Bop","Rated 4.92 of 12 votes (98 have, 389 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$750.00
John Coltrane With The Red Garland Trio – Traneing In,Jazz,1961,Hard Bop,"Rated 4.67 of 21 votes (206 have, 204 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$500.00
Hal Stein & Warren Fitzgerald (2) – Hal Stein & Warren Fitzgerald,Jazz,1955,"Hard Bop, Bop","Rated 3.50 of 4 votes (15 have, 34 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),96.4%,$499.99
Jackie McLean – Jackie's Bag,Jazz,1967,Hard Bop,"Rated 5.00 of 1 votes (5 have, 80 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$499.00
Sonny Rollins – Way Out West,Jazz,1958,Hard Bop,"Rated 4.75 of 16 votes (79 have, 240 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$419.99
John Coltrane – Blue Train,Jazz,Jun 1960,Hard Bop,"Rated 4.87 of 15 votes (106 have, 702 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$499.99
Dexter Gordon – Dexter Calling . . .,Jazz,Dec 1961,Hard Bop,"Rated 4.59 of 27 votes (156 have, 329 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$528.49
Lee Morgan – Search For The New Land,Jazz,1966,Hard Bop,"Rated 4.54 of 59 votes (361 have, 751 want)",Good (G),Sleeve: Very Good Plus (VG+),99.4%,$400.00
"Benny Carter Featuring The Voices Of Sammy Davis, Jr.*, Louis Armstrong And Mel Tormé – A Man Called Adam","Jazz, Blues",1966,"Hard Bop, Easy Listening, Dixieland, Swing, Cool Jazz","Rated 4.00 of 2 votes (14 have, 12 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$559.00
Miles Davis – Blue Moods,Jazz,1955,Hard Bop,"Rated 4.24 of 25 votes (147 have, 573 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,$505.62
Wes Montgomery – The Incredible Jazz Guitar Of Wes Montgomery,Jazz,1960,Hard Bop,"Rated 4.53 of 40 votes (260 have, 597 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,$500.00
Jackie McLean – A Long Drink Of The Blues,Jazz,1961,Hard Bop,"Rated 4.40 of 15 votes (67 have, 175 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,$529.00
George Braith – Soul Stream,Jazz,1963,Hard Bop,"Rated 4.50 of 12 votes (57 have, 141 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,$418.59
